sentence,tokens,labels
Virender Sehwag and Harbhajan Singh were not named in the Indian squad due to recent poor performances while Irfan Pathan and Munaf Patel were not fully fit .,"['Virender' 'Sehwag' 'and' 'Harbhajan' 'Singh' 'were' 'not' 'named' 'in'
 'the' 'Indian' 'squad' 'due' 'to' 'recent' 'poor' 'performances' 'while'
 'Irfan' 'Pathan' 'and' 'Munaf' 'Patel' 'were' 'not' 'fully' 'fit' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Mount Nangtud is the second highest mountain in Panay Island located in the Northeast of Barbaza with an elevation of 6,804 feet ( 2,074 meters ) above sea level .","['Mount' 'Nangtud' 'is' 'the' 'second' 'highest' 'mountain' 'in' 'Panay'
 'Island' 'located' 'in' 'the' 'Northeast' 'of' 'Barbaza' 'with' 'an'
 'elevation' 'of' '6,804' 'feet' '(' '2,074' 'meters' ')' 'above' 'sea'
 'level' '.']",[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The European Team Championship bridge championship is held every two years .,"['The' 'European' 'Team' 'Championship' 'bridge' 'championship' 'is'
 'held' 'every' 'two' 'years' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
The Bulgarian army under the command of Nestoritsa was defeated by the Byzantines led by the governor of Thessalonica Theophylactus Botaniates and it was unable to divert the main Byzantine forces who were attacking the Bulgarian ramparts between the Belasitsa and Ograzhden mountains .,"['The' 'Bulgarian' 'army' 'under' 'the' 'command' 'of' 'Nestoritsa' 'was'
 'defeated' 'by' 'the' 'Byzantines' 'led' 'by' 'the' 'governor' 'of'
 'Thessalonica' 'Theophylactus' 'Botaniates' 'and' 'it' 'was' 'unable'
 'to' 'divert' 'the' 'main' 'Byzantine' 'forces' 'who' 'were' 'attacking'
 'the' 'Bulgarian' 'ramparts' 'between' 'the' 'Belasitsa' 'and'
 'Ograzhden' 'mountains' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 2 0 1 0 0]"
"Through Mountain Madness , Fischer guided the 1993 Climb for the Cure on Denali ( 20,320 feet ) in Alaska which was organized by eight students at Princeton University .","['Through' 'Mountain' 'Madness' ',' 'Fischer' 'guided' 'the' '1993'
 'Climb' 'for' 'the' 'Cure' 'on' 'Denali' '(' '20,320' 'feet' ')' 'in'
 'Alaska' 'which' 'was' 'organized' 'by' 'eight' 'students' 'at'
 'Princeton' 'University' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Other peaks of the range include Mount Roots .,['Other' 'peaks' 'of' 'the' 'range' 'include' 'Mount' 'Roots' '.'],[0 0 0 0 0 0 1 2 0]
"The nuthatches are a genus ( `` sitta '' ) of passerine birds with short tails and wings , compact bodies and longish pointed bills .","['The' 'nuthatches' 'are' 'a' 'genus' '(' '``' 'sitta' ""''"" ')' 'of'
 'passerine' 'birds' 'with' 'short' 'tails' 'and' 'wings' ',' 'compact'
 'bodies' 'and' 'longish' 'pointed' 'bills' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Under ideal conditions , it can extend to over , including such mountains as the Torridon Hills , Morven in Caithness , Lochnagar , Ben Lomond , Barra Head and to Knocklayd in County Antrim , Northern Ireland .","['Under' 'ideal' 'conditions' ',' 'it' 'can' 'extend' 'to' 'over' ','
 'including' 'such' 'mountains' 'as' 'the' 'Torridon' 'Hills' ',' 'Morven'
 'in' 'Caithness' ',' 'Lochnagar' ',' 'Ben' 'Lomond' ',' 'Barra' 'Head'
 'and' 'to' 'Knocklayd' 'in' 'County' 'Antrim' ',' 'Northern' 'Ireland'
 '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 2 0 1 0 1 2 0 1 2 0 0 1 0 0 0 0 1
 2 0]"
The well-trained 7th Indian Infantry Division under Major-General Frank Messervy attacked down the Kalapanzin Valley .,"['The' 'well-trained' '7th' 'Indian' 'Infantry' 'Division' 'under'
 'Major-General' 'Frank' 'Messervy' 'attacked' 'down' 'the' 'Kalapanzin'
 'Valley' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
"It is spoken by a minority of the Danagla in the Nile Valley , from roughly the 3rd cataract ( south of Kerma ) upstream to the bend in the Nile near ed Debba .","['It' 'is' 'spoken' 'by' 'a' 'minority' 'of' 'the' 'Danagla' 'in' 'the'
 'Nile' 'Valley' ',' 'from' 'roughly' 'the' '3rd' 'cataract' '(' 'south'
 'of' 'Kerma' ')' 'upstream' 'to' 'the' 'bend' 'in' 'the' 'Nile' 'near'
 'ed' 'Debba' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Jotunheimen is a residual mountain , which is a mass of rock that has remained in place as the surrounding relief has been eroded .","['Jotunheimen' 'is' 'a' 'residual' 'mountain' ',' 'which' 'is' 'a' 'mass'
 'of' 'rock' 'that' 'has' 'remained' 'in' 'place' 'as' 'the' 'surrounding'
 'relief' 'has' 'been' 'eroded' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Later in his criminal career , he began making trips to Las Vegas on Meyer Lansky 's behalf in the early 1930s to franchise the syndicate 's Trans- America race wire service .","['Later' 'in' 'his' 'criminal' 'career' ',' 'he' 'began' 'making' 'trips'
 'to' 'Las' 'Vegas' 'on' 'Meyer' 'Lansky' ""'s"" 'behalf' 'in' 'the' 'early'
 '1930s' 'to' 'franchise' 'the' 'syndicate' ""'s"" 'Trans-' 'America' 'race'
 'wire' 'service' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
British air patrols on the morning of 3 September reported seeing no Germans between the Dury Ridge and the Canal du Nord .,"['British' 'air' 'patrols' 'on' 'the' 'morning' 'of' '3' 'September'
 'reported' 'seeing' 'no' 'Germans' 'between' 'the' 'Dury' 'Ridge' 'and'
 'the' 'Canal' 'du' 'Nord' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0]
"They allowed their cousins to take the entire herd , but vowed someday to take revenge .","['They' 'allowed' 'their' 'cousins' 'to' 'take' 'the' 'entire' 'herd' ','
 'but' 'vowed' 'someday' 'to' 'take' 'revenge' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Tonight Homemade ice cream flights try 3 of chef Tim s boozy ice cream creations,"['Tonight' 'Homemade' 'ice' 'cream' 'flights' 'try' '3' 'of' 'chef' 'Tim'
 's' 'boozy' 'ice' 'cream' 'creations']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"It is located at Anderson Mesa in Coconino County , Arizona ( USA ) , about 12 miles southeast of Lowell 's main campus on Mars Hill in Flagstaff , Arizona .","['It' 'is' 'located' 'at' 'Anderson' 'Mesa' 'in' 'Coconino' 'County' ','
 'Arizona' '(' 'USA' ')' ',' 'about' '12' 'miles' 'southeast' 'of'
 'Lowell' ""'s"" 'main' 'campus' 'on' 'Mars' 'Hill' 'in' 'Flagstaff' ','
 'Arizona' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0]
"It is situated in the southeast foothills of Friesland Ridge , Tangra Mountains on Rozhen Peninsula , 1 km south-southeast of Ludogorie Peak , and surmounts Prespa Glacier on the west , Brunow Bay on the northeast , Opitsvet Lake on the east and Samuel Point on the east by south .","['It' 'is' 'situated' 'in' 'the' 'southeast' 'foothills' 'of' 'Friesland'
 'Ridge' ',' 'Tangra' 'Mountains' 'on' 'Rozhen' 'Peninsula' ',' '1' 'km'
 'south-southeast' 'of' 'Ludogorie' 'Peak' ',' 'and' 'surmounts' 'Prespa'
 'Glacier' 'on' 'the' 'west' ',' 'Brunow' 'Bay' 'on' 'the' 'northeast' ','
 'Opitsvet' 'Lake' 'on' 'the' 'east' 'and' 'Samuel' 'Point' 'on' 'the'
 'east' 'by' 'south' '.']","[0 0 0 0 0 0 0 0 1 2 0 1 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"Long Road crosses over the West Kill 0.6 mile ( 1 km ) downstream , just above where Newton Brook flows down from a valley on the slopes of Mount Sherrill to the south .","['Long' 'Road' 'crosses' 'over' 'the' 'West' 'Kill' '0.6' 'mile' '(' '1'
 'km' ')' 'downstream' ',' 'just' 'above' 'where' 'Newton' 'Brook' 'flows'
 'down' 'from' 'a' 'valley' 'on' 'the' 'slopes' 'of' 'Mount' 'Sherrill'
 'to' 'the' 'south' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0]
"The highest peak is Mount Tabwemasana on Espiritu Santo ( 1,879 m ) .","['The' 'highest' 'peak' 'is' 'Mount' 'Tabwemasana' 'on' 'Espiritu' 'Santo'
 '(' '1,879' 'm' ')' '.']",[0 0 0 0 1 2 0 1 2 0 0 0 0 0]
"The family arrived to the Pristina Airport from London , and during the flight , health inspectors recommended the child to see a doctor , once they arrived to Pristina .","['The' 'family' 'arrived' 'to' 'the' 'Pristina' 'Airport' 'from' 'London'
 ',' 'and' 'during' 'the' 'flight' ',' 'health' 'inspectors' 'recommended'
 'the' 'child' 'to' 'see' 'a' 'doctor' ',' 'once' 'they' 'arrived' 'to'
 'Pristina' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
